inst,density,t,rep,J,Res,composite,return_code,timeout,ok
RC103,d25,0.7,0,,,,,True,False
RC104,d25,0.7,0,495.7876266617914,1.858094,496.15924546179144,0,False,True
RC104,d25,0.7,1,495.7876266617914,1.789246,496.1454758617914,0,False,True
RC104,d25,0.7,2,495.7876266617914,1.779293,496.1434852617914,0,False,True
RC105,d25,0.7,0,396.54111486560515,5.383458,397.61780646560516,0,False,True
RC105,d25,0.7,1,290.8073127546416,5.799955,291.9673037546416,0,False,True
RC105,d25,0.7,2,396.54111486560515,6.208184,397.78275166560513,0,False,True
RC101,d25,0.6,0,557.4760643188131,5.839478,558.643959918813,0,False,True
RC101,d25,0.6,1,557.4760643188131,5.284468,558.532957918813,0,False,True
RC101,d25,0.6,2,557.4760643188131,5.893165,558.6546973188131,0,False,True
RC102,d25,0.6,0,425.07761520817064,2.597661,425.59714740817066,0,False,True
RC102,d25,0.6,1,425.07761520817064,2.934678,425.66455080817065,0,False,True
RC102,d25,0.6,2,425.07761520817064,2.571865,425.5919882081706,0,False,True
RC103,d25,0.6,0,,,,,True,False
RC104,d25,0.6,0,495.7876266617914,1.911969,496.1700204617914,0,False,True
RC104,d25,0.6,1,495.7876266617914,1.859072,496.1594410617914,0,False,True
RC104,d25,0.6,2,495.7876266617914,1.77902,496.1434306617914,0,False,True
RC105,d25,0.6,0,290.8073127546416,5.743052,291.9559231546416,0,False,True
RC105,d25,0.6,1,290.8073127546416,6.275824,292.0624775546416,0,False,True
RC105,d25,0.6,2,290.8073127546416,5.606679,291.9286485546416,0,False,True
RC101,d50,1.0,0,713.5215792178652,5.896389,714.7008570178652,0,False,True
RC101,d50,1.0,1,713.5215792178652,5.853688,714.6923168178653,0,False,True
RC101,d50,1.0,2,713.5215792178652,5.779008,714.6773808178652,0,False,True
RC102,d50,1.0,0,551.810759545803,5.929593,552.996678145803,0,False,True
RC102,d50,1.0,1,551.810759545803,5.290163,552.868792145803,0,False,True
RC102,d50,1.0,2,551.810759545803,5.256561,552.862071745803,0,False,True
RC103,d50,1.0,0,,,,,True,False
RC104,d50,1.0,0,376.2111006978276,2.488712,376.7088430978276,0,False,True
RC104,d50,1.0,1,376.2111006978276,2.524126,376.7159258978276,0,False,True
RC104,d50,1.0,2,376.2111006978276,2.420744,376.6952494978276,0,False,True
RC105,d50,1.0,0,405.85393018640735,4.591483,406.7722267864074,0,False,True
RC105,d50,1.0,1,405.3923796323695,4.976191,406.38761783236953,0,False,True
RC105,d50,1.0,2,405.3923796323695,4.923129,406.3770054323695,0,False,True
RC101,d50,0.9,0,697.2401392440023,6.000383,698.4402158440023,0,False,True
RC101,d50,0.9,1,697.2401392440023,6.173741,698.4748874440023,0,False,True
RC101,d50,0.9,2,697.2401392440023,6.897034,698.6195460440023,0,False,True
RC102,d50,0.9,0,540.698216895702,6.146022,541.927421295702,0,False,True
RC102,d50,0.9,1,540.698216895702,6.294928,541.957202495702,0,False,True
RC102,d50,0.9,2,540.698216895702,6.412326,541.980682095702,0,False,True
RC103,d50,0.9,0,,,,,True,False
RC104,d50,0.9,0,287.6687557001582,2.864091,288.2415739001582,0,False,True
RC104,d50,0.9,1,287.6687557001582,2.38746,288.1462477001582,0,False,True
RC104,d50,0.9,2,287.6687557001582,2.400436,288.14884290015823,0,False,True
RC105,d50,0.9,0,476.2752533584295,4.798469,477.2349471584295,0,False,True
RC105,d50,0.9,1,476.2752533584295,5.258477,477.3269487584295,0,False,True
RC105,d50,0.9,2,476.2752533584295,6.126271,477.5005075584295,0,False,True
RC101,d50,0.8,0,697.2401392440023,5.865618,698.4132628440024,0,False,True
RC101,d50,0.8,1,697.2401392440023,6.331507,698.5064406440023,0,False,True
RC101,d50,0.8,2,697.2401392440023,5.966708,698.4334808440024,0,False,True
RC102,d50,0.8,0,384.90137862288685,6.748056,386.2509898228869,0,False,True
RC102,d50,0.8,1,384.90137862288685,6.484895,386.1983576228869,0,False,True
RC102,d50,0.8,2,384.90137862288685,6.541654,386.2097094228869,0,False,True
