inst,density,t,n_ok,n_rep,timed_out,J_median,J_mean,J_std,J_min,J_max,Res_median,Res_mean,Res_std,composite_median,composite_mean
RC103,d50,0.8,0,3,True,,,,,,,,,,
RC104,d50,0.8,3,3,False,219.58671637516454,219.58671637516454,0.0,219.58671637516454,219.58671637516454,3.118574,3.2432053333333335,0.17810760564021091,220.21043117516453,220.23535744183118
RC105,d50,0.8,3,3,False,497.1989354953167,497.1989354953167,0.0,497.1989354953167,497.1989354953167,6.201928,6.136646666666667,0.29825436662613264,498.4393210953167,498.42626482865006
RC101,d50,0.7,3,3,False,697.2401392440023,697.2401392440023,0.0,697.2401392440023,697.2401392440023,6.019496,6.346010333333333,0.5180881756769035,698.4440384440023,698.5093413106689
RC102,d50,0.7,3,3,False,384.90137862288685,384.90137862288685,0.0,384.90137862288685,384.90137862288685,6.33139,6.389802,0.22672769964136866,386.16765662288685,386.17933902288684
RC103,d50,0.7,0,3,True,,,,,,,,,,
RC104,d50,0.7,3,3,False,281.6687557001582,281.6687557001582,0.0,281.6687557001582,281.6687557001582,2.554305,2.5666176666666667,0.10347574544898058,282.1796167001582,282.18207923349155
RC105,d50,0.7,3,3,False,449.3085019108452,449.3085019108452,0.0,449.3085019108452,449.3085019108452,5.262326,5.4188469999999995,0.24792129517382444,450.3609671108452,450.3922713108452
RC101,d50,0.6,3,3,False,647.7864107474733,647.7864107474733,0.0,647.7864107474733,647.7864107474733,5.904798,5.9133613333333335,0.3809103102563067,648.9673703474733,648.96908301414
RC102,d50,0.6,3,3,False,377.90137862288685,377.90137862288685,0.0,377.90137862288685,377.90137862288685,5.618291,5.63028,0.11387474865248509,379.0250368228869,379.02743462288686
RC103,d50,0.6,0,3,True,,,,,,,,,,
RC104,d50,0.6,3,3,False,281.6687557001582,281.6687557001582,0.0,281.6687557001582,281.6687557001582,1.981654,2.0898576666666666,0.17514713751649566,282.0650865001582,282.08672723349156
RC105,d50,0.6,3,3,False,439.11046288365964,439.11046288365964,0.0,439.11046288365964,439.11046288365964,5.20023,5.315782,0.2175206058162458,440.15050888365965,440.17361928365966
RC101,d75,1.0,3,3,False,549.4845950707235,549.4845950707235,0.0,549.4845950707235,549.4845950707235,5.640907,5.901917,0.5391685626814675,550.6127764707235,550.6649784707234
RC102,d75,1.0,3,3,False,350.2659121970153,350.2659121970153,0.0,350.2659121970153,350.2659121970153,8.475039,9.000889,0.8142060243370023,351.9609199970153,352.0660899970153
